epoch,year,month,day,hour,minute,open,high,low,close,volume
1759489200,2025,10,3,11,0,672.115,672.14,671.665,671.8,625724
1759488900,2025,10,3,10,55,672.28,672.28,672.02,672.11,514953
1759488600,2025,10,3,10,50,671.945,672.265,671.8599,672.26,516634
1759488300,2025,10,3,10,45,672.1,672.24,671.86,671.955,573959
1759488000,2025,10,3,10,40,671.99,672.28,671.94,672.09,891779
1759487700,2025,10,3,10,35,671.6356,672.0514,671.55,671.982,661074
1759487400,2025,10,3,10,30,671.39,671.65,671.32,671.645,819249
1759487100,2025,10,3,10,25,671.03,671.55,670.95,671.395,737515
1759486800,2025,10,3,10,20,670.87,671.06,670.6809,671.03,553142
1759486500,2025,10,3,10,15,670.62,671.04,670.605,670.87,637953
1759486200,2025,10,3,10,10,670.49,670.88,670.4,670.62,737144
1759485900,2025,10,3,10,5,670.29,670.64,670.125,670.48,872534
1759485600,2025,10,3,10,0,670.81,670.84,669.97,670.3001,1428354
1759485300,2025,10,3,9,55,671.25,671.3399,670.6693,670.8899,646089
1759485000,2025,10,3,9,50,671.08,671.57,670.92,671.25,1039139
1759484700,2025,10,3,9,45,670.78,671.17,670.71,671.07,843805
1759484400,2025,10,3,9,40,671.19,671.33,670.43,670.84,1139739
1759484100,2025,10,3,9,35,670.67,671.22,670.44,671.18,1103472
1759483800,2025,10,3,9,30,669.99,670.78,669.93,670.6507,1421607
1759420500,2025,10,2,15,55,669.01,669.32,668.82,669.17,5552593
1759420200,2025,10,2,15,50,669.34,669.42,668.94,669.0,1406167
1759419900,2025,10,2,15,45,669.21,669.34,669.085,669.34,756079
1759419600,2025,10,2,15,40,669.22,669.25,668.955,669.2,860015
1759419300,2025,10,2,15,35,669.34,669.365,668.99,669.22,812439
1759419000,2025,10,2,15,30,669.48,669.49,669.285,669.35,648876
1759418700,2025,10,2,15,25,669.495,669.61,669.44,669.475,759271
1759418400,2025,10,2,15,20,669.4,669.49,669.34,669.49,609970
1759418100,2025,10,2,15,15,669.44,669.45,669.22,669.39,666312
1759417800,2025,10,2,15,10,669.51,669.545,669.38,669.4432,276629
1759417500,2025,10,2,15,5,669.56,669.63,669.41,669.51,397702
1759417200,2025,10,2,15,0,669.38,669.58,669.36,669.56,314637
1759416900,2025,10,2,14,55,669.51,669.59,669.36,669.39,426979
1759416600,2025,10,2,14,50,669.41,669.54,669.2202,669.5,431694
1759416300,2025,10,2,14,45,669.52,669.56,669.31,669.43,299444
1759416000,2025,10,2,14,40,669.6574,669.66,669.38,669.515,372545
1759415700,2025,10,2,14,35,669.59,669.66,669.47,669.66,310612
1759415400,2025,10,2,14,30,669.58,669.73,669.45,669.595,456992
1759415100,2025,10,2,14,25,669.6,669.67,669.41,669.58,390415
1759414800,2025,10,2,14,20,669.48,669.635,669.48,669.61,499453
1759414500,2025,10,2,14,15,669.42,669.52,669.33,669.485,338238
1759414200,2025,10,2,14,10,669.14,669.52,669.11,669.42,632125
1759413900,2025,10,2,14,5,669.0,669.18,668.995,669.14,426776
1759413600,2025,10,2,14,0,668.89,669.04,668.85,669.0,306199
1759413300,2025,10,2,13,55,668.875,668.9601,668.74,668.895,492715
1759413000,2025,10,2,13,50,668.7523,668.96,668.73,668.87,349762
1759412700,2025,10,2,13,45,668.86,669.005,668.645,668.7544,648395
1759412400,2025,10,2,13,40,668.67,669.08,668.67,668.85,570209
1759412100,2025,10,2,13,35,668.57,668.675,668.44,668.66,236670
1759411800,2025,10,2,13,30,668.51,668.655,668.3319,668.57,351171
1759411500,2025,10,2,13,25,668.56,668.71,668.44,668.5099,509292
1759411200,2025,10,2,13,20,668.31,668.61,668.24,668.5586,311205
1759410900,2025,10,2,13,15,668.45,668.53,668.26,668.31,341340
1759410600,2025,10,2,13,10,668.22,668.47,668.15,668.45,269283
1759410300,2025,10,2,13,5,668.05,668.38,668.04,668.22,818354
1759410000,2025,10,2,13,0,668.415,668.42,667.94,668.06,353554
1759409700,2025,10,2,12,55,668.54,668.54,668.26,668.42,331327
1759409400,2025,10,2,12,50,668.065,668.59,668.065,668.535,363298
1759409100,2025,10,2,12,45,667.92,668.18,667.88,668.06,465355
1759408800,2025,10,2,12,40,668.055,668.06,667.55,667.93,286369
