epoch,year,month,day,hour,minute,open,high,low,close
1693480500,2023,8,31,11,15,186.6312,186.651,186.5223,186.6287
1693480200,2023,8,31,11,10,186.6461,186.7104,186.5024,186.6347
1693479900,2023,8,31,11,5,186.5421,186.6708,186.3638,186.651
1693479600,2023,8,31,11,0,186.6807,186.6857,186.3588,186.547
1693479300,2023,8,31,10,55,186.5817,186.7005,186.4232,186.6758
1693479000,2023,8,31,10,50,186.6312,186.7072,186.3093,186.5817
1693478700,2023,8,31,10,45,186.7401,186.7897,186.5718,186.6496
1693478400,2023,8,31,10,40,186.9283,186.9481,186.7147,186.7453
1693478100,2023,8,31,10,35,186.7154,186.9263,186.7055,186.9204
1693477800,2023,8,31,10,30,186.5322,186.76,186.443,186.7104
1693477500,2023,8,31,10,25,186.344,186.5817,186.2549,186.5223
1693477200,2023,8,31,10,20,186.5668,186.6015,186.2251,186.3539
1693476900,2023,8,31,10,15,186.3836,186.5816,186.2548,186.5619
1693476600,2023,8,31,10,10,186.0172,186.4231,185.8686,186.3992
1693476300,2023,8,31,10,5,186.1127,186.141,185.8488,186.0072
1693476000,2023,8,31,10,0,186.2747,186.4718,186.0568,186.0964
1693475700,2023,8,31,9,55,186.4033,186.5322,186.1954,186.2493
1693475400,2023,8,31,9,50,186.1063,186.5024,185.8884,186.3935
1693475100,2023,8,31,9,45,186.3539,186.7004,186.0172,186.1063
1693474800,2023,8,31,9,40,186.377,186.5124,186.1855,186.344
1693474500,2023,8,31,9,35,185.9973,186.5024,185.8785,186.3738
1693474200,2023,8,31,9,30,186.037,186.5619,185.9874,185.9874
1693410900,2023,8,30,15,55,185.6804,185.9874,185.6705,185.8686
1693410600,2023,8,30,15,50,185.7497,185.9478,185.5219,185.6854
1693410300,2023,8,30,15,45,185.6606,185.9181,185.6309,185.7596
1693410000,2023,8,30,15,40,185.8307,185.8587,185.621,185.6606
1693409700,2023,8,30,15,35,185.7596,185.8983,185.7511,185.8389
1693409400,2023,8,30,15,30,185.5913,185.7646,185.5863,185.7646
1693409100,2023,8,30,15,25,185.6408,185.6557,185.5517,185.5863
1693408800,2023,8,30,15,20,185.7002,185.7052,185.512,185.6358
1693408500,2023,8,30,15,15,185.7695,185.7894,185.621,185.7005
1693408200,2023,8,30,15,10,185.7943,185.829,185.6854,185.7596
1693407900,2023,8,30,15,5,185.8141,185.8587,185.7299,185.7993
1693407600,2023,8,30,15,0,185.7596,185.8785,185.6804,185.819
1693407300,2023,8,30,14,55,185.6309,185.7894,185.616,185.7596
1693407000,2023,8,30,14,50,185.6111,185.7101,185.5814,185.6408
1693406700,2023,8,30,14,45,185.72,185.8092,185.6041,185.616
1693406400,2023,8,30,14,40,185.5517,185.7795,185.5418,185.72
1693406100,2023,8,30,14,35,185.3536,185.5913,185.3239,185.5432
1693405800,2023,8,30,14,30,185.0565,185.3833,184.9871,185.3448
1693405500,2023,8,30,14,25,185.0665,185.2149,184.8584,185.0565
1693405200,2023,8,30,14,20,185.1605,185.2449,184.997,185.0763
1693404900,2023,8,30,14,15,185.2644,185.4021,185.0168,185.1654
1693404600,2023,8,30,14,10,185.2199,185.3041,185.0763,185.2545
1693404300,2023,8,30,14,5,185.4378,185.4823,185.1951,185.2224
1693404000,2023,8,30,14,0,185.314,185.4328,185.116,185.4279
1693403700,2023,8,30,13,55,185.3393,185.3536,185.0961,185.3066
1693403400,2023,8,30,13,50,185.6706,185.6706,185.3141,185.3437
1693403100,2023,8,30,13,45,185.6309,185.7695,185.5814,185.6755
1693402800,2023,8,30,13,40,185.72,185.7497,185.621,185.6408
1693402500,2023,8,30,13,35,185.6903,185.7894,185.621,185.7226
1693402200,2023,8,30,13,30,185.5021,185.7547,185.5021,185.6903
1693401900,2023,8,30,13,25,185.5021,185.6507,185.4625,185.4923
1693401600,2023,8,30,13,20,185.616,185.6804,185.5021,185.5071
1693401300,2023,8,30,13,15,185.5616,185.6408,185.4031,185.6308
1693401000,2023,8,30,13,10,185.5368,185.621,185.4922,185.5714
1693400700,2023,8,30,13,5,185.6705,185.6854,185.4922,185.5326
1693400400,2023,8,30,13,0,185.6358,185.7497,185.512,185.6805
1693400100,2023,8,30,12,55,185.7007,185.7398,185.6012,185.6408
1693399800,2023,8,30,12,50,185.8686,185.9478,185.6903,185.7002
1693399500,2023,8,30,12,45,185.8438,185.9676,185.7398,185.8686
1693399200,2023,8,30,12,40,185.7349,185.8884,185.6557,185.8389
1693398900,2023,8,30,12,35,185.7894,185.829,185.5219,185.729
1693398600,2023,8,30,12,30,185.6408,185.8488,185.6012,185.7894
1693398300,2023,8,30,12,25,185.5517,185.6903,185.5418,185.6309
1693398000,2023,8,30,12,20,185.6128,185.6903,185.4625,185.5616
1693397700,2023,8,30,12,15,185.3833,185.6408,185.3288,185.6111
1693397400,2023,8,30,12,10,185.5021,185.512,185.2149,185.3783
1693397100,2023,8,30,12,5,185.3338,185.5219,185.3115,185.5021
1693396800,2023,8,30,12,0,185.3536,185.3833,185.2149,185.3261
1693396500,2023,8,30,11,55,185.2148,185.3734,185.0961,185.3635
1693396200,2023,8,30,11,50,185.2545,185.2843,185.1555,185.205
1693395900,2023,8,30,11,45,185.413,185.4279,185.2248,185.2467
1693395600,2023,8,30,11,40,185.3734,185.5319,185.3041,185.413
1693395300,2023,8,30,11,35,185.0565,185.3734,185.0466,185.3684
1693395000,2023,8,30,11,30,184.8386,185.0565,184.8188,185.0466
1693394700,2023,8,30,11,25,184.8828,184.8828,184.6603,184.8386
1693394400,2023,8,30,11,20,184.9673,184.997,184.7593,184.8881
1693394100,2023,8,30,11,15,184.7247,184.997,184.6108,184.9624
1693393800,2023,8,30,11,10,184.7346,184.8089,184.5811,184.7209
1693393500,2023,8,30,11,5,184.4226,184.7782,184.4127,184.7247
1693393200,2023,8,30,11,0,184.8969,184.9376,184.3929,184.4325
1693392900,2023,8,30,10,55,184.7296,185.0069,184.5315,184.893
1693392600,2023,8,30,10,50,184.7197,184.8188,184.5117,184.7395
1693392300,2023,8,30,10,45,184.7395,184.898,184.69,184.7098
1693392000,2023,8,30,10,40,184.6483,184.9371,184.482,184.7395
1693391700,2023,8,30,10,35,184.6504,184.799,184.4746,184.6504
1693391400,2023,8,30,10,30,184.4028,184.6895,184.3434,184.6434
1693391100,2023,8,30,10,25,184.7197,184.7296,184.0661,184.3978
1693390800,2023,8,30,10,20,185.314,185.314,184.69,184.7247
1693390500,2023,8,30,10,15,185.824,185.8686,185.2546,185.314
1693390200,2023,8,30,10,10,185.0047,185.829,184.9773,185.8212
1693389900,2023,8,30,10,5,184.893,185.0862,184.8188,185.0069
1693389600,2023,8,30,10,0,184.5811,184.9475,184.4622,184.8881
1693389300,2023,8,30,9,55,184.3929,184.6405,184.2839,184.5811
1693389000,2023,8,30,9,50,183.8482,184.4523,183.7788,184.3924
1693388700,2023,8,30,9,45,183.9868,184.274,183.7988,183.8482
1693388400,2023,8,30,9,40,183.7392,184.0562,183.5114,183.9818
1693388100,2023,8,30,9,35,183.6204,183.8086,182.9965,183.7442
1693387800,2023,8,30,9,30,183.1648,183.9967,182.9667,183.6303
1693324500,2023,8,29,15,55,182.2437,182.6498,182.0952,182.3527
1693324200,2023,8,29,15,50,182.838,182.8677,182.1348,182.2388
1693323900,2023,8,29,15,45,183.0162,183.1252,182.7389,182.8344
1693323600,2023,8,29,15,40,182.7785,183.0509,182.7736,183.0212
1693323300,2023,8,29,15,35,182.8706,182.9519,182.7043,182.7787
1693323000,2023,8,29,15,30,183.041,183.1054,182.838,182.8677
1693322700,2023,8,29,15,25,182.9816,183.0732,182.937,183.041
1693322400,2023,8,29,15,20,183.0088,183.0261,182.8479,182.9848
1693322100,2023,8,29,15,15,182.8182,183.0658,182.7983,183.0113
1693321800,2023,8,29,15,10,182.6399,182.8281,182.5805,182.8182
1693321500,2023,8,29,15,5,182.7713,182.838,182.6064,182.63
1693321200,2023,8,29,15,0,182.7379,182.7934,182.5111,182.7736
1693320900,2023,8,29,14,55,182.6439,182.7392,182.5309,182.7389
1693320600,2023,8,29,14,50,182.6266,182.7191,182.5806,182.6448
1693320300,2023,8,29,14,45,182.6906,182.7686,182.5607,182.63
1693320000,2023,8,29,14,40,182.5161,182.7191,182.5013,182.6894
1693319700,2023,8,29,14,35,182.4913,182.6795,182.4517,182.521
1693319400,2023,8,29,14,30,182.5607,182.6201,182.4122,182.4913
1693319100,2023,8,29,14,25,182.4368,182.6003,182.3725,182.5607
1693318800,2023,8,29,14,20,182.3648,182.5656,182.3626,182.4319
1693318500,2023,8,29,14,15,182.1892,182.3725,182.1447,182.3715
1693318200,2023,8,29,14,10,182.1892,182.2932,182.1348,182.1892
1693317900,2023,8,29,14,5,181.9961,182.1938,181.9813,182.1892
